H014 vendor live SDMMC0 GCTRL/TMOUT sample kernel=5.15.147-21-a733
index ns GCTRL TMOUT CMDR RINTR STAS DMAC DLBA IDST CHDA CBDA CBCR BBCR
159 1781110900729237580 0x20000830 0x01312dff 0x00003352 0x00010024 0x00049402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
160 1781110900734538046 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
161 1781110900739863221 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
162 1781110900745221270 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
163 1781110900750519070 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
164 1781110900755728952 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
165 1781110900760998001 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
166 1781110900766287509 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
167 1781110900771511850 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
168 1781110900776720983 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
169 1781110900781986157 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
170 1781110900787209415 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
171 1781110900792415506 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
172 1781110900797618263 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
173 1781110900802903813 0x20000010 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
174 1781110900808243445 0x20000010 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
175 1781110900813607703 0x20000830 0x01312dff 0x00003352 0x00010024 0x000a9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
176 1781110900818915669 0x20000830 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
177 1781110900824195094 0x20000830 0x01312dff 0x00003352 0x0001402c 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
178 1781110900829404643 0x20000010 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
179 1781110900834678942 0x20000010 0xffffffff 0x00003352 0x00010000 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
180 1781110900839886450 0x20000810 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
181 1781110900845237291 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
182 1781110900850598882 0x20000830 0x01312dff 0x00003352 0x00010004 0x00069402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
183 1781110900855885723 0x20000810 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
184 1781110900861157231 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
185 1781110900866387030 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
186 1781110900871662663 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
187 1781110900876872962 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
188 1781110900882142720 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
189 1781110900887366477 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
190 1781110900892575901 0x20000830 0x01312dff 0x00003352 0x00010024 0x00109403 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
191 1781110900897843992 0x20000010 0xffffffff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
192 1781110900903066583 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
193 1781110900908348591 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
194 1781110900913557307 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
195 1781110900918823940 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
196 1781110900924033781 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
197 1781110900929387872 0x20000830 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
198 1781110900934688588 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
199 1781110900939898220 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
200 1781110900945172061 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
201 1781110900950479486 0x20000010 0xffffffff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
202 1781110900955763202 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
203 1781110900961063876 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
204 1781110900966425259 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
205 1781110900971724100 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
206 1781110900976933691 0x20000830 0x01312dff 0x00003352 0x00010024 0x000a9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
207 1781110900982200824 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
208 1781110900987451498 0x20000830 0x01312dff 0x00003352 0x00010024 0x000e9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
209 1781110900992810339 0x20000010 0xffffffff 0x00003352 0x00010000 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
210 1781110900998163097 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
211 1781110901003406230 0x20000830 0x01312dff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
212 1781110901008617071 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
213 1781110901013870203 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
214 1781110901019428711 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
215 1781110901024781219 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
216 1781110901030047602 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
217 1781110901035271443 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
218 1781110901040482033 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
219 1781110901045754666 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
220 1781110901051032799 0x20000010 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
221 1781110901056241390 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
222 1781110901061512356 0x20000830 0x01312dff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
223 1781110901066736530 0x20000010 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
224 1781110901072014121 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
225 1781110901077223045 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
226 1781110901082546011 0x20000830 0x01312dff 0x00003352 0x00010024 0x000c9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
227 1781110901087769144 0x20000830 0x01312dff 0x00003352 0x00010024 0x000c9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
228 1781110901093045985 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
229 1781110901098331742 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
230 1781110901103552208 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
231 1781110901108765591 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
232 1781110901114117473 0x20000830 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
233 1781110901119447398 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
234 1781110901124657655 0x20000830 0x01312dff 0x00003352 0x00010024 0x000a9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
235 1781110901129924580 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
236 1781110901135146546 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
237 1781110901140427428 0x20000830 0x01312dff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
238 1781110901145635144 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
239 1781110901150981110 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
dd_status=
