H014 vendor live SDMMC0 GCTRL/TMOUT sample kernel=5.15.147-21-a733
index ns GCTRL TMOUT CMDR RINTR STAS DMAC DLBA IDST CHDA CBDA CBCR BBCR
036 1781110900081301178 0x20000830 0x01312dff 0x00003352 0x00010024 0x00029402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
037 1781110900086512852 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
038 1781110900091736026 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
039 1781110900096947784 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
040 1781110900102227625 0x20000830 0x01312dff 0x00003352 0x00010024 0x000a9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
041 1781110900107476758 0x20000830 0x01312dff 0x00003352 0x00010024 0x000a9402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
042 1781110900112688140 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
043 1781110900117959190 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
044 1781110900123183781 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
045 1781110900128465580 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
046 1781110900133676754 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
047 1781110900138893387 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
048 1781110900144179103 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
049 1781110900149391110 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
050 1781110900154751952 0x20000810 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
051 1781110900160086126 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
052 1781110900165348175 0x20000010 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
053 1781110900170561641 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
054 1781110900175848149 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
055 1781110900181209323 0x20000010 0xffffffff 0x00003352 0x00010000 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
056 1781110900186514664 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
057 1781110900191792797 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
058 1781110900197007305 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
059 1781110900202427896 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
060 1781110900207714779 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
061 1781110900212916078 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
062 1781110900218113294 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
063 1781110900223389177 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
064 1781110900228675809 0x20000830 0x01312dff 0x00003352 0x00010024 0x00049402 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
065 1781110900233879400 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
066 1781110900239096908 0x20000830 0x01312dff 0x00003352 0x00010024 0x00109403 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
067 1781110900244308707 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
068 1781110900249510923 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
069 1781110900254727514 0x20000830 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
070 1781110900259939521 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
071 1781110900265143279 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
072 1781110900270394245 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
073 1781110900275616753 0x20000830 0x01312dff 0x00003352 0x00010004 0x00009506 0x00000082 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
074 1781110900280828552 0x20000010 0xffffffff 0x00003352 0x00010000 0x00006106 0x00000000 0x3fc60800 0x00000000 0x00000000 0x00000000 0x00000006 0x00000000
